transaction_id,user_id,amount,timestamp,city,merchant_id,refund_flag,device_id,ip_address,hour,txn_hour,high_freq_flag,month,refund_heavy_flag,shared_device_flag,avg_amount,amount_spike_flag,risk_score
ab081b8b-c5da-4c28-8725-2fbb0bade9a3,7954,4641.0,2024-10-29 16:06:52,Prestonshire,e05f615b-ab03-40cb-83bb-256a345d47bb,1,d96c7b20-42ec-4425-90b5-dbb35559b7c0,101.69.35.130,16,2024-10-29 16:00:00,0,2024-10,0,0,2523.6133333333332,0,5
3c880092-632c-4b7f-a9e9-22a45c031d8d,3069,1787.61,2024-10-29 16:39:04,Weaverton,feb31818-fd49-4b16-8d86-060485f3e426,1,9267dddb-44a9-4d57-92a6-01c9c323547c,190.32.46.141,16,2024-10-29 16:00:00,0,2024-10,0,0,2333.8025,0,5
fb728f49-07d3-4a33-a526-4ccb2bc45389,4534,1494.25,2024-10-29 18:04:11,Brightborough,082415ed-8bd0-4eff-a3f7-b08002587eac,1,71a0ef2d-d564-45fd-b4c6-8a093ddfb74f,44.85.227.255,18,2024-10-29 18:00:00,0,2024-10,0,0,1600.8374999999999,0,5
56f2daa5-520c-4556-acf6-6af265cb060b,7872,2903.93,2024-10-29 18:22:28,Kingbury,5869b740-3dee-4a02-aeb4-83dedd17b2ef,1,4342b6c7-a3b4-408a-9a65-bd8adae29b3f,3.229.183.245,18,2024-10-29 18:00:00,0,2024-10,0,0,1693.8999999999999,0,5
79613cd3-6b1e-4bc6-8bdd-6a73f28532ce,1441,3992.35,2024-10-30 04:56:38,South Daisy,8e0b5047-c992-4f8d-abd8-189b541fb584,1,5532c331-0fc4-4b5d-b1f8-ae487fc72c48,104.59.6.108,4,2024-10-30 04:00:00,0,2024-10,0,0,3559.005,0,7
027aec8e-1012-4af4-b45a-8132e9c45316,9392,2693.17,2024-10-30 05:25:15,Christopherland,d59d979f-1c61-4fba-bee8-e627d9f9a4f9,1,57582ddc-6c31-4536-bab9-83a7343a8c7b,130.138.254.38,5,2024-10-30 05:00:00,0,2024-10,0,0,3000.69,0,5
e62e7534-01a8-4507-918d-a802bcf66b0b,8698,2037.37,2024-10-30 08:37:01,East David,6340cdd7-3671-4009-b71e-d523045ad3ed,1,62e91541-8106-40b2-b2ad-107d71cca5ce,187.99.247.26,8,2024-10-30 08:00:00,0,2024-10,0,0,3143.475,0,5
5e809473-a0c9-4927-8da7-643a7c5628cd,9594,1911.12,2024-10-30 10:19:36,Alexanderville,bd55bf14-c4c5-4d6d-be1d-80cae0acb66f,1,371798bd-24c8-4584-adf6-b7079fecde3d,104.234.198.175,10,2024-10-30 10:00:00,0,2024-10,0,0,3344.441666666667,0,5
32815b8e-5098-4108-bed8-08e8cc81180f,4984,1113.63,2024-10-30 12:04:47,Stevensonstad,ce3f4757-b12c-4993-8a1e-d93d31a50ff8,1,03861548-6873-4a83-bd37-98cbabcbf986,154.125.42.149,12,2024-10-30 12:00:00,0,2024-10,0,0,1787.5300000000002,0,5
90405bfb-8685-4a6e-a2b5-d29464ab5438,8240,2077.21,2024-10-30 12:50:32,Georgeland,261dea36-814a-4fdd-8890-8498f575e8af,1,c202d0a2-cd4d-4eb2-80ad-94b7573f3a68,150.119.188.200,12,2024-10-30 12:00:00,0,2024-10,0,0,3211.385,0,5
